Table ID,Table Title,Table Universe,5 Year Geography Restrictions (with Summary Levels in Parentheses)
B25072,AGE OF HOUSEHOLDER BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Renter-occupied housing units,Excludes Place/Remainder (070)
B25074,HOUSEHOLD INCOME BY GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Renter-occupied housing units,Excludes Place/Remainder (070)
B25075,VALUE,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25076,LOWER VALUE QUARTILE (DOLLARS),Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25077,MEDIAN VALUE (DOLLARS),Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25078,UPPER VALUE QUARTILE (DOLLARS),Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25079,AGGREGATE VALUE (DOLLARS) BY AGE OF HOUSEHOLDER,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25080,AGGREGATE VALUE (DOLLARS) BY UNITS IN STRUCTURE,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25081,MORTGAGE STATUS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25082,AGGREGATE VALUE (DOLLARS) BY MORTGAGE STATUS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25083,MEDIAN VALUE (DOLLARS) FOR MOBILE HOMES,Universe: Owner-occupied mobile homes,Excludes Place/Remainder (070)
B25085,PRICE ASKED,"Universe: Vacant-for-sale-only and sold, not occupied housing units",Excludes Place/Remainder (070)
B25086,AGGREGATE PRICE ASKED (DOLLARS),"Universe: Vacant-for-sale-only and sold, not occupied housing units",Excludes Place/Remainder (070)
B25087,MORTGAGE STATUS AND SELECTED MONTHLY OWNER COSTS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25088,MEDIAN SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25089,AGGREGATE SELECTED MONTHLY OWNER COSTS (DOLLARS) BY MORTGAGE STATUS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25090,MORTGAGE STATUS BY AGGREGATE REAL ESTATE TAXES PAID (DOLLARS),Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25091,MORTGAGE STATUS BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25092,MEDIAN SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25093,AGE OF HOUSEHOLDER BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,Excludes Place/Remainder (070)
B25094,SELECTED MONTHLY OWNER COSTS,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25095,HOUSEHOLD INCOME BY SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25096,MORTGAGE STATUS BY VALUE,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25097,MORTGAGE STATUS BY MEDIAN VALUE (DOLLARS),Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25098,MORTGAGE STATUS BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25099,MORTGAGE STATUS BY MEDIAN HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25100,MORTGAGE STATUS BY RATIO OF VALUE TO HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25101,MORTGAGE STATUS BY MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25102,MORTGAGE STATUS BY REAL ESTATE TAXES PAID,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25103,MORTGAGE STATUS BY MEDIAN REAL ESTATE TAXES PAID (DOLLARS),Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25104,MONTHLY HOUSING COSTS,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25105,MEDIAN MONTHLY HOUSING COSTS (DOLLARS),Universe: Occupied housing units with monthly housing costs,"Excludes Block Group (150,258,293,294)"
B25106,TENURE BY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25107,MEDIAN VALUE BY YEAR STRUCTURE BUILT,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25108,AGGREGATE VALUE (DOLLARS) BY YEAR STRUCTURE BUILT,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25109,MEDIAN VALUE BY YEAR HOUSEHOLDER MOVED INTO UNIT,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25110,AGGREGATE VALUE (DOLLARS) BY YEAR HOUSEHOLDER MOVED INTO UNIT,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25111,MEDIAN GROSS RENT BY YEAR STRUCTURE BUILT,Universe: Renter-occupied housing units paying cash rent,"Excludes Block Group (150,258,293,294)"
B25112,AGGREGATE GROSS RENT (DOLLARS) BY YEAR STRUCTURE BUILT,Universe: Renter-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25113,MEDIAN GROSS RENT BY YEAR HOUSEHOLDER MOVED INTO UNIT,Universe: Renter-occupied housing units paying cash rent,"Excludes Block Group (150,258,293,294)"
B25114,AGGREGATE GROSS RENT (DOLLARS) BY YEAR HOUSEHOLDER MOVED INTO UNIT,Universe: Renter-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25115,TENURE BY HOUSEHOLD TYPE AND PRESENCE AND AGE OF OWN CHILDREN,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25116,TENURE BY HOUSEHOLD SIZE BY AGE OF HOUSEHOLDER,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25117,TENURE BY HOUSE HEATING FUEL,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25118,TENURE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25119,MEDIAN HOUSEHOLD INCOME THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY TENURE,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25120,AGGREGATE HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY TENURE AND MORTGAGE STATUS,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25121,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY VALUE,Universe: Owner-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25122,HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY GROSS RENT,Universe: Renter-occupied housing units,"Excludes Block Group (150,258,293,294)"
B25123,TENURE BY SELECTED PHYSICAL AND FINANCIAL CONDITIONS,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25124,TENURE BY HOUSEHOLD SIZE BY UNITS IN STRUCTURE,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25125,TENURE BY AGE OF HOUSEHOLDER BY UNITS IN STRUCTURE,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25126,TENURE BY AGE OF HOUSEHOLDER BY YEAR STRUCTURE BUILT,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25127,TENURE BY YEAR STRUCTURE BUILT BY UNITS IN STRUCTURE,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25128,TENURE BY AGE OF HOUSEHOLDER BY YEAR HOUSEHOLDER MOVED INTO UNIT,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B25129,TENURE BY YEAR HOUSEHOLDER MOVED INTO UNIT BY UNITS IN STRUCTURE,Universe: Occupied housing units,"Excludes Block Group (150,258,293,294)"
B26001,GROUP QUARTERS POPULATION,Universe: Population in Group Quarters,"Excludes Block Group (150,258,293,294)"
B26101,GROUP QUARTERS TYPE (3 TYPES) BY SEX BY AGE,Universe: Total Population,"United States (010), Region (020), Division (030), State (040)"
B26102,MEDIAN AGE BY GROUP QUARTERS TYPE (3 TYPES),Universe: Total Population,"United States (010), Region (020), Division (030), State (040)"
B26103,GROUP QUARTERS TYPE (3 TYPES),Universe: Total Population,"United States (010), Region (020), Division (030), State (040)"
B26103A,GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE),Universe: People who are White alone,"United States (010), Region (020), Division (030), State (040)"
B26103B,GROUP QUARTERS TYPE (3 TYPES) (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"United States (010), Region (020), Division (030), State (040)"
B26103C,GROUP QUARTERS TYPE (3 TYPES) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,"United States (010), Region (020), Division (030), State (040)"
B26103D,GROUP QUARTERS TYPE (3 TYPES) (ASIAN ALONE),Universe: People who are Asian alone,"United States (010), Region (020), Division (030), State (040)"
B26103E,GROUP QUARTERS TYPE (3 TYPES) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"United States (010), Region (020), Division (030), State (040)"
B26103F,GROUP QUARTERS TYPE (3 TYPES) (SOME OTHER RACE ALONE),Universe: People who are Some other race alone,"United States (010), Region (020), Division (030), State (040)"
B26103G,GROUP QUARTERS TYPE (3 TYPES) (TWO OR MORE RACES),Universe: People who are Two or more races,"United States (010), Region (020), Division (030), State (040)"
B26103H,"GROUP QUARTERS TYPE (3 TYPES) (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population","United States (010), Region (020), Division (030), State (040)"
B26103I,GROUP QUARTERS TYPE (3 TYPES) (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,"United States (010), Region (020), Division (030), State (040)"
B26104,GROUP QUARTERS TYPE (3 TYPES) BY MARITAL STATUS,Universe: Population 15 years and over,"United States (010), Region (020), Division (030), State (040)"
B26105,GROUP QUARTERS TYPE (3 TYPES) BY SCHOOL ENROLLMENT,Universe: Population 3 years and over enrolled in school,"United States (010), Region (020), Division (030), State (040)"
B26106,GROUP QUARTERS TYPE (3 TYPES) BY EDUCATIONAL ATTAINMENT,Universe: Population 25 years and over,"United States (010), Region (020), Division (030), State (040)"
B26107,GROUP QUARTERS TYPE (3 TYPES) BY VETERAN STATUS,Universe: Civilian population 18 years and over,"United States (010), Region (020), Division (030), State (040)"
B26108,GROUP QUARTERS TYPE (3 TYPES) BY AGE BY DISABILITY STATUS,Universe: Total Population,"United States (010), Region (020), Division (030), State (040)"
B26109,GROUP QUARTERS TYPE (3 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"United States (010), Region (020), Division (030), State (040); excludes Puerto Rico"
B26109PR,GROUP QUARTERS TYPE (3 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,State (040); Puerto Rico only
B26110,GROUP QUARTERS TYPE (3 TYPES) BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Universe: Total Population,"United States (010), Region (020), Division (030), State (040)"
B26113,GROUP QUARTERS TYPE (3 TYPES) BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH,Universe: Population 5 years and over,"United States (010), Region (020), Division (030), State (040)"
B26114,GROUP QUARTERS TYPE (3 TYPES) BY EMPLOYMENT STATUS,Universe: Population 16 years and over,"United States (010), Region (020), Division (030), State (040)"
B26115,GROUP QUARTERS TYPE (3 TYPES) BY OCCUPATION,Universe: Civilian noninstitutionalized employed population 16 years and over,"United States (010), Region (020), Division (030), State (040)"
B26117,GROUP QUARTERS TYPE (3 TYPES) BY SEX WITH EARNINGS IN THE PAST 12 MONTHS,Universe: Population 16 years and over with earnings,"United States (010), Region (020), Division (030), State (040)"
B26118,AGGREGATE EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,Universe: Population 16 years and over with earnings,"United States (010), Region (020), Division (030), State (040)"
B26119,MEDIAN EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (3 TYPES) BY SEX,Universe: Population 16 years and over with earnings,"United States (010), Region (020), Division (030), State (040)"
B26120,GROUP QUARTERS TYPE (3 TYPES) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,Universe: Population in group quarters,"United States (010), Region (020), Division (030), State (040)"
B26201,GROUP QUARTERS TYPE (5 TYPES) BY SEX BY AGE,Universe: Total Population,United States (010)
B26202,MEDIAN AGE BY GROUP QUARTERS TYPE (5 TYPES),Universe: Total Population,United States (010)
B26203,GROUP QUARTERS TYPE (5 TYPES),Universe: Total Population,United States (010)
B26203A,GROUP QUARTERS TYPE (5 TYPES) (WHITE ALONE),Universe: People who are White alone,United States (010)
B26203B,GROUP QUARTERS TYPE (5 TYPES) (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,United States (010)
B26203C,GROUP QUARTERS TYPE (5 TYPES) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,United States (010)
B26203D,GROUP QUARTERS TYPE (5 TYPES) (ASIAN ALONE),Universe: People who are Asian alone,United States (010)
B26203E,GROUP QUARTERS TYPE (5 TYPES) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,United States (010)
B26203F,GROUP QUARTERS TYPE (5 TYPES) (SOME OTHER RACE ALONE),Universe: People who are Some other race alone,United States (010)
B26203G,GROUP QUARTERS TYPE (5 TYPES) (TWO OR MORE RACES),Universe: People who are Two or more races,United States (010)
B26203H,"GROUP QUARTERS TYPE (5 TYPES) (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population",United States (010)
B26203I,GROUP QUARTERS TYPE (5 TYPES) (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,United States (010)
B26204,GROUP QUARTERS TYPE (5 TYPES) BY MARITAL STATUS,Universe: Population 15 years and over,United States (010)
B26205,GROUP QUARTERS TYPE (5 TYPES) BY SCHOOL ENROLLMENT,Universe: Population 3 years and over enrolled in school,United States (010)
B26206,GROUP QUARTERS TYPE (5 TYPES) BY EDUCATIONAL ATTAINMENT,Universe: Population 25 years and over,United States (010)
B26207,GROUP QUARTERS TYPE (5 TYPES) BY VETERAN STATUS,Universe: Civilian population 18 years and over,United States (010)
B26208,GROUP QUARTERS TYPE (5 TYPES) BY AGE BY DISABILITY STATUS,Universe: Total Population,United States (010)
B26209,GROUP QUARTERS TYPE (5 TYPES) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,United States (010)
B26210,GROUP QUARTERS TYPE (5 TYPES) BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Universe: Total Population,United States (010)
B26211,GROUP QUARTERS TYPE (5 TYPES) BY YEAR OF ENTRY,Universe: Foreign-born population,United States (010)
B26212,GROUP QUARTERS TYPE (5 TYPES) BY WORLD REGION OF BIRTH,Universe: Foreign-born population excluding population born at sea,United States (010)
B26213,GROUP QUARTERS TYPE (5 TYPES) BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH,Universe: Population 5 years and over,United States (010)
B26214,GROUP QUARTERS TYPE (5 TYPES) BY EMPLOYMENT STATUS,Universe: Population 16 years and over,United States (010)
B26215,GROUP QUARTERS TYPE (5 TYPES) BY OCCUPATION,Universe: Civilian noninstitutionalized employed population 16 years and over,United States (010)
B26216,AGGREGATE INCOME IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES),Universe: Population 15 years and over,United States (010)
B26217,GROUP QUARTERS TYPE (5 TYPES) BY SEX WITH EARNINGS IN THE PAST 12 MONTHS,Universe: Population 16 years and over with earnings,United States (010)
B26218,AGGREGATE EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES) BY SEX,Universe: Population 16 years and over with earnings,United States (010)
B26219,MEDIAN EARNINGS IN THE PAST 12 MONTHS BY GROUP QUARTERS TYPE (5 TYPES) BY SEX,Universe: Population 16 years and over with earnings,United States (010)
B26220,GROUP QUARTERS TYPE (5 TYPES) BY RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS,Universe: Population in group quarters,United States (010)
B27001,HEALTH INSURANCE COVERAGE STATUS BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001A,HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE),Universe: White alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001B,HEALTH INSURANCE COVERAGE STATUS BY AGE (BLACK OR AFRICAN AMERICAN ALONE),Universe: Black or African American alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001C,HEALTH INSURANCE COVERAGE STATUS BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: American Indian and Alaska Native alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001D,HEALTH INSURANCE COVERAGE STATUS BY AGE (ASIAN ALONE),Universe: Asian alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001E,HEALTH INSURANCE COVERAGE STATUS BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Native Hawaiian and other Pacific Islander alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001F,HEALTH INSURANCE COVERAGE STATUS BY AGE (SOME OTHER RACE ALONE),Universe: Some other race alone civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001G,HEALTH INSURANCE COVERAGE STATUS BY AGE (TWO OR MORE RACES),Universe: Two or more races civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27001H,"HEALTH INSURANCE COVERAGE STATUS BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino civilian noninstitutionalized population","Excludes Block Group (150,258,293,294)"
C27001I,HEALTH INSURANCE COVERAGE STATUS BY AGE (HISPANIC OR LATINO),Universe: Hispanic or Latino civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
B27002,PRIVATE HEALTH INSURANCE STATUS BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
B27003,PUBLIC HEALTH INSURANCE STATUS BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27004,EMPLOYER-BASED HEALTH INSURANCE  BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27005,DIRECT-PURCHASE HEALTH INSURANCE BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27006,MEDICARE COVERAGE BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27007,MEDICAID/MEANS-TESTED PUBLIC COVERAGE BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27008,TRICARE/MILITARY HEALTH COVERAGE BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27009,VA HEALTH CARE BY SEX BY AGE,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
B27010,TYPES OF HEALTH INSURANCE COVERAGE BY AGE,Universe: Civilian noninstitutionalized population,Excludes Place/Remainder (070)
B27011,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY EMPLOYMENT STATUS,Universe: Civilian noninstitutionalized population 19 to 64 years,"Excludes Block Group (150,258,293,294)"
C27012,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY WORK EXPERIENCE,Universe: Civilian noninstitutionalized population 19 to 64 years,"Excludes Block Group (150,258,293,294)"
C27013,PRIVATE HEALTH INSURANCE BY WORK EXPERIENCE,Universe: Civilian noninstitutionalized population 19 to 64 years,"Excludes Block Group (150,258,293,294)"
C27014,PUBLIC HEALTH INSURANCE BY WORK EXPERIENCE,Universe: Civilian noninstitutionalized population 19 to 64 years,"Excludes Block Group (150,258,293,294)"
B27015,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),Universe: Civilian population living in households,"Excludes Block Group (150,258,293,294)"
C27016,HEALTH INSURANCE COVERAGE STATUS BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,Universe: Civilian noninstitutionalized population for whom poverty status is determined,"Excludes Block Group (150,258,293,294)"
C27017,PRIVATE HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,Universe: Civilian noninstitutionalized population for whom poverty status is determined,"Excludes Block Group (150,258,293,294)"
C27018,PUBLIC HEALTH INSURANCE BY RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY AGE,Universe: Civilian noninstitutionalized population for whom poverty status is determined,"Excludes Block Group (150,258,293,294)"
B27019,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY AGE BY EDUCATIONAL ATTAINMENT,Universe: Civilian noninstitutionalized population 26 years and over,"Excludes Block Group (150,258,293,294)"
B27020,HEALTH INSURANCE COVERAGE STATUS AND TYPE BY CITIZENSHIP STATUS,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
C27021,HEALTH INSURANCE COVERAGE STATUS  BY LIVING ARRANGEMENT,Universe: Civilian noninstitutionalized population,"Excludes Block Group (150,258,293,294)"
B27022,HEALTH INSURANCE COVERAGE STATUS BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,Universe: Civilian noninstitutionalized population 19 to 25 years,"Excludes Block Group (150,258,293,294)"
B27023,PRIVATE HEALTH INSURANCE BY SEX BY ENROLLMENT STATUS FOR YOUNG ADULTS AGED 19 TO 25,Universe: Civilian noninstitutionalized population 19 to 25 years,"Excludes Block Group (150,258,293,294)"
B28001,TYPES OF COMPUTERS IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28002,PRESENCE AND TYPES OF INTERNET SUBSCRIPTIONS IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28003,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28004,HOUSEHOLD INCOME IN THE LAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) BY PRESENCE AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28005,AGE BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Population in Households,Excludes Place/Remainder (070)
B28006,EDUCATIONAL ATTAINMENT BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Household population 25 years and over,Excludes Place/Remainder (070)
B28007,LABOR FORCE STATUS BY PRESENCE OF A COMPUTER AND TYPES OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Civilian household population 16 years and over,Excludes Place/Remainder (070)
B28008,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD,Universe: Population in Households,Excludes Place/Remainder (070)
B28009A,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (WHITE ALONE),Universe: Population in households who are White alone,Excludes Place/Remainder (070)
B28009B,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (BLACK OR AFRICAN AMERICAN ALONE),Universe: Population in households who are Black or African American alone,Excludes Place/Remainder (070)
B28009C,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: Population in households who are American Indian and Alaska Native alone,Excludes Place/Remainder (070)
B28009D,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (ASIAN ALONE),Universe: Population in households who are Asian alone,Excludes Place/Remainder (070)
B28009E,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: Population in households who are Native Hawaiian and Other Pacific Islander alone,Excludes Place/Remainder (070)
B28009F,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (SOME OTHER RACE ALONE),Universe: Population in households who are Some other race alone,Excludes Place/Remainder (070)
B28009G,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (TWO OR MORE RACES),Universe: Population in households who are Two or more races,Excludes Place/Remainder (070)
B28009H,"PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: Population in households who are White alone, not Hispanic or Latino",Excludes Place/Remainder (070)
B28009I,PRESENCE OF A COMPUTER AND TYPE OF INTERNET SUBSCRIPTION IN HOUSEHOLD (HISPANIC OR LATINO),Universe: Population in households who are Hispanic or Latino,Excludes Place/Remainder (070)
B28010,COMPUTERS IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28011,INTERNET SUBSCRIPTIONS IN HOUSEHOLD,Universe: Households,Excludes Place/Remainder (070)
B28012,AGE AND ENROLLMENT STATUS BY COMPUTER OWNERSHIP AND INTERNET SUBSCRIPTION STATUS,Universe: Population in households,Excludes Place/Remainder (070)
B29001,"CITIZEN, VOTING-AGE POPULATION BY AGE",Universe: Citizens 18 years and over,"United States (010), State (040), County (050), Census Tract (140), Block Group (150), Place (160), Congressional District (500), State Legislative District Upper (610), State Legislative District Lower (620)"
B29002,"CITIZEN, VOTING-AGE POPULATION BY EDUCATIONAL ATTAINMENT",Universe: Citizens 18 years and over,"United States (010), State (040), County (050), Census Tract (140), Block Group (150), Place (160), Congressional District (500), State Legislative District Upper (610), State Legislative District Lower (620)"
